Date,Open,High,Low,Close,Volume,Market Cap
"Jul 13, 2020",242.18,244.31,238.23,239.60,"7,787,751,468","26,775,071,858"
"Jul 12, 2020",239.46,243.31,237.77,242.13,"6,596,394,718","27,054,158,346"
"Jul 11, 2020",241.04,241.53,238.33,239.46,"5,643,067,316","26,752,161,985"
"Jul 10, 2020",242.87,242.88,236.73,240.98,"7,281,370,522","26,919,422,187"
"Jul 09, 2020",246.75,247.29,239.90,243.02,"8,429,099,199","27,143,016,879"
"Jul 08, 2020",239.16,248.31,238.40,246.67,"9,892,586,411","27,547,785,703"
"Jul 07, 2020",240.97,242.68,234.22,239.08,"6,441,497,597","26,696,376,073"
"Jul 06, 2020",227.69,242.13,227.03,241.51,"8,782,917,553","26,964,937,043"
"Jul 05, 2020",228.98,229.86,224.54,227.66,"5,292,172,429","25,415,950,649"
"Jul 04, 2020",225.29,230.05,225.13,229.07,"5,228,310,135","25,570,190,315"
"Jul 03, 2020",229.32,229.63,224.91,225.39,"5,109,032,700","25,155,571,600"
"Jul 02, 2020",231.29,232.40,225.46,229.39,"6,212,210,566","25,599,453,477"
"Jul 01, 2020",226.13,232.76,224.84,231.11,"6,463,737,443","25,788,404,350"
"Jun 30, 2020",227.97,229.48,224.82,226.31,"6,094,093,001","25,249,913,730"
"Jun 29, 2020",225.36,229.90,222.25,228.19,"6,726,164,653","25,456,513,994"
"Jun 28, 2020",222.91,228.60,219.47,225.35,"6,205,925,718","25,135,786,986"
"Jun 27, 2020",229.63,232.49,220.56,222.96,"6,918,380,955","24,866,429,445"
"Jun 26, 2020",232.88,233.90,229.26,229.67,"7,187,490,226","25,611,500,297"
"Jun 25, 2020",235.70,236.05,230.30,232.94,"7,010,426,122","25,973,707,946"
"Jun 24, 2020",244.19,248.51,232.81,235.77,"8,815,030,025","26,285,822,239"
"Jun 23, 2020",242.54,244.86,239.76,244.14,"6,624,530,348","27,215,606,543"
"Jun 22, 2020",229.00,243.78,228.93,242.53,"9,079,586,552","27,032,930,743"
"Jun 21, 2020",229.22,232.36,228.49,228.99,"5,600,408,178","25,520,273,837"
"Jun 20, 2020",226.98,231.45,226.64,229.27,"6,252,830,566","25,548,837,121"
"Jun 19, 2020",231.95,232.15,226.80,227.14,"6,946,372,590","25,307,718,819"
"Jun 18, 2020",232.90,234.57,228.95,232.10,"6,713,800,872","25,857,495,155"
"Jun 17, 2020",234.49,235.95,229.34,233.03,"7,701,391,592","25,957,610,764"
"Jun 16, 2020",229.76,236.39,228.43,234.42,"7,965,648,016","26,109,047,392"
"Jun 15, 2020",234.06,234.24,221.24,229.93,"10,536,099,884","25,606,145,743"
"Jun 14, 2020",238.97,239.10,232.96,234.11,"7,439,385,176","26,069,111,857"
"Jun 13, 2020",237.54,239.19,235.89,238.91,"7,141,624,980","26,599,679,550"
"Jun 12, 2020",231.63,239.35,229.65,237.49,"8,868,955,009","26,438,827,420"
"Jun 11, 2020",247.55,249.89,229.94,231.70,"12,356,528,860","25,791,024,831"
"Jun 10, 2020",244.82,248.65,242.82,247.44,"8,792,990,206","27,539,945,413"
"Jun 09, 2020",246.18,248.34,242.34,244.91,"8,446,545,788","27,254,678,255"
"Jun 08, 2020",245.18,246.64,241.54,246.31,"8,076,783,299","27,406,923,226"
"Jun 07, 2020",241.91,245.44,236.33,245.17,"9,544,883,157","27,276,459,502"
"Jun 06, 2020",241.20,245.98,239.72,241.93,"8,114,873,845","26,913,140,925"
"Jun 05, 2020",244.35,247.33,240.68,241.22,"9,293,963,914","26,830,954,614"
"Jun 04, 2020",244.11,245.93,236.77,244.43,"10,170,414,304","27,184,018,611"
"Jun 03, 2020",237.40,244.18,235.46,244.18,"9,861,760,817","27,153,238,868"
"Jun 02, 2020",246.83,252.22,233.23,237.22,"13,782,107,567","26,376,031,890"
"Jun 01, 2020",230.86,248.24,230.49,246.99,"13,951,727,936","27,459,257,209"
"May 31, 2020",242.35,244.05,230.05,230.98,"12,234,904,813","25,675,542,329"
"May 30, 2020",220.72,243.94,218.74,242.35,"15,027,397,867","26,936,114,604"
"May 29, 2020",219.93,224.22,218.24,220.68,"12,265,816,557","24,524,484,269"
"May 28, 2020",208.89,220.28,206.24,219.84,"12,212,469,604","24,428,738,047"
"May 27, 2020",201.89,208.86,201.79,208.86,"10,631,034,756","23,206,144,127"
"May 26, 2020",205.26,205.75,200.26,201.90,"10,159,741,290","22,429,962,991"
"May 25, 2020",201.98,206.36,200.67,205.32,"10,415,044,124","22,806,813,423"
"May 24, 2020",208.72,210.60,202.37,202.37,"11,833,299,572","22,476,471,750"
"May 23, 2020",207.19,210.39,205.29,208.69,"10,665,476,768","23,176,030,659"
"May 22, 2020",199.84,208.59,198.04,207.17,"12,041,592,114","23,003,786,385"
"May 21, 2020",210.13,211.63,193.35,199.88,"13,308,321,229","22,192,109,650"
"May 20, 2020",213.45,214.72,207.98,210.10,"12,730,175,511","23,323,160,696"
"May 19, 2020",214.60,214.60,210.14,213.45,"14,346,192,779","23,692,625,224"
"May 18, 2020",207.18,215.91,207.11,214.53,"17,411,566,928","23,808,928,396"
"May 17, 2020",200.61,209.16,200.10,207.16,"15,470,397,303","22,988,575,488"
"May 16, 2020",195.61,202.77,194.50,200.68,"15,379,081,645","22,266,558,227"
"May 15, 2020",202.96,203.57,193.76,195.62,"16,602,342,092","21,703,086,885"
"May 14, 2020",198.89,204.12,196.87,202.95,"20,150,524,861","22,513,148,759"
"May 13, 2020",189.37,200.20,189.13,199.19,"17,054,662,289","22,093,789,228"
"May 12, 2020",185.88,191.60,185.70,189.31,"15,899,726,284","20,995,260,629"
"May 11, 2020",188.63,191.36,180.72,185.91,"20,054,601,647","20,615,704,449"
"May 10, 2020",211.55,211.55,182.71,188.60,"25,211,575,193","20,911,059,578"
